t_s,clock,VDC,IDC,PDC,VG_A,VG_B,VG_C,IINV_A,IINV_B,IINV_C,STS,MODE,FAULT_FLAGS,FREQ,SET_FREQ,MOD_IDX,TEMP,STOP_REASON,FAULT_UV_CNT,FAULT_OC_CNT,IU_INST,IW_INST
13.159,12:13:11.560,15.964,0.442,7.048,0.000,0.000,0.000,0.089,0.099,0.152,5.000,1.000,0.000,5.000,5.000,0.200,32.982,5.000,98.0,47.0,-0.1538461595773697,-0.05128205195069313
13.464,12:13:11.673,15.964,0.442,7.048,0.000,0.000,0.000,0.089,0.099,0.152,5.000,1.000,0.000,5.000,5.000,0.200,32.982,5.000,98.0,47.0,-0.1538461595773697,-0.05128205195069313
13.575,12:13:11.785,15.981,0.439,7.016,0.000,0.000,0.000,0.087,0.093,0.143,5.000,1.000,0.000,5.000,5.000,0.200,32.981,5.000,98.0,47.0,-0.1538461595773697,-0.05128205195069313
13.687,12:13:11.896,15.981,0.439,7.016,0.000,0.000,0.000,0.087,0.093,0.143,5.000,1.000,0.000,5.000,5.000,0.200,32.981,5.000,98.0,47.0,-0.1538461595773697,-0.05128205195069313
13.799,12:13:12.008,15.981,0.439,7.016,0.000,0.000,0.000,0.087,0.093,0.143,5.000,1.000,0.000,5.000,5.000,0.200,32.981,5.000,98.0,47.0,-0.1538461595773697,-0.05128205195069313
13.912,12:13:12.121,15.981,0.439,7.016,0.000,0.000,0.000,0.087,0.093,0.143,5.000,1.000,0.000,5.000,5.000,0.200,32.981,5.000,98.0,47.0,-0.1538461595773697,-0.05128205195069313
14.023,12:13:12.232,15.948,0.411,6.551,0.000,0.000,0.000,0.083,0.093,0.137,5.000,1.000,0.000,5.000,5.000,0.200,32.980,5.000,98.0,47.0,-0.1538461595773697,-0.05128205195069313
14.135,12:13:12.345,15.948,0.411,6.551,0.000,0.000,0.000,0.083,0.093,0.137,5.000,1.000,0.000,5.000,5.000,0.200,32.980,5.000,98.0,47.0,-0.1538461595773697,-0.05128205195069313
14.246,12:13:12.647,15.948,0.411,6.551,0.000,0.000,0.000,0.083,0.093,0.137,5.000,1.000,0.000,5.000,5.000,0.200,32.980,5.000,98.0,47.0,-0.10256410390138626,-0.10256410390138626
14.551,12:13:12.760,15.932,0.443,7.052,0.000,0.000,0.000,0.081,0.095,0.140,5.000,1.000,0.000,5.000,5.000,0.200,32.982,5.000,98.0,47.0,-0.10256410390138626,-0.10256410390138626
14.663,12:13:12.872,15.932,0.443,7.052,0.000,0.000,0.000,0.081,0.095,0.140,5.000,1.000,0.000,5.000,5.000,0.200,32.982,5.000,98.0,47.0,-0.10256410390138626,-0.10256410390138626
14.774,12:13:12.984,15.941,0.438,6.976,0.000,0.000,0.000,0.081,0.096,0.139,5.000,1.000,0.000,5.000,5.000,0.200,32.980,5.000,98.0,47.0,-0.10256410390138626,-0.10256410390138626
14.886,12:13:13.095,15.941,0.438,6.976,0.000,0.000,0.000,0.081,0.096,0.139,5.000,1.000,0.000,5.000,5.000,0.200,32.980,5.000,98.0,47.0,-0.10256410390138626,-0.10256410390138626
14.999,12:13:13.208,15.941,0.438,6.976,0.000,0.000,0.000,0.081,0.096,0.139,5.000,1.000,0.000,5.000,5.000,0.200,32.980,5.000,98.0,47.0,-0.10256410390138626,-0.10256410390138626
15.111,12:13:13.320,15.941,0.438,6.976,0.000,0.000,0.000,0.081,0.096,0.139,5.000,1.000,0.000,5.000,5.000,0.200,32.980,5.000,98.0,47.0,-0.10256410390138626,-0.10256410390138626
15.222,12:13:13.431,15.955,0.422,6.740,0.000,0.000,0.000,0.080,0.098,0.141,5.000,1.000,0.000,5.000,5.000,0.200,32.981,5.000,98.0,47.0,-0.10256410390138626,-0.10256410390138626
15.335,12:13:13.735,15.955,0.422,6.740,0.000,0.000,0.000,0.080,0.098,0.141,5.000,1.000,0.000,5.000,5.000,0.200,32.981,5.000,98.0,47.0,-0.05128205195069313,-0.05128205195069313
